k,pid,req,sess,sev,site,tid,ts,user,v,v__ALLUSERSPROFILE,v__APPDATA,v__ARBORPATH,v__COMPUTERNAME,v__ComSpec,v__CommonProgramFiles,v__CommonProgramFiles(x86),v__CommonProgramW6432,v__ESSBASEPATH,v__FIREBIRD_LOCK,v__FIREBIRD_TMP,v__FP_NO_HOST_CHECK,v__HOMEDRIVE,v__HOMEPATH,v__LOCALAPPDATA,v__LOGONSERVER,v__NUMBER_OF_PROCESSORS,v__OS,v__PATHEXT,v__PROCESSOR_ARCHITECTURE,v__PROCESSOR_IDENTIFIER,v__PROCESSOR_LEVEL,v__PROCESSOR_REVISION,v__PSModulePath,v__PUBLIC,v__Path,v__ProgramData,v__ProgramFiles,v__ProgramFiles(x86),v__ProgramW6432,v__SBT_HOME,v__SESSIONNAME,v__SystemDrive,v__SystemRoot,v__TEMP,v__TMP,v__UOIPME_REG_PATH,v__USERDOMAIN,v__USERNAME,v__USERPROFILE,v__VBOX_MSI_INSTALL_PATH,v__args,v__attr__:driver-bitness,v__attr__class,v__attr__dbname,v__attr__name,v__attr__password,v__attr__port,v__attr__server,v__attr__sslmode,v__attr__username,v__calendar,v__collation,v__column,v__commit,v__country,v__country-en,v__cwd,v__description,v__domain,v__file-version,v__filename,v__free,v__hostname,v__index,v__language,v__language-en,v__lcid,v__load-percent,v__long-date,v__long-date-format,v__name,v__os,v__path,v__process-id,v__product-name,v__product-version,v__protocol,v__registry__adapter,v__registry__bios,v__registry__chip-type,v__registry__driver-date,v__registry__driver-desc,v__registry__driver-version,v__registry__video-memory-size,v__reserve,v__samples,v__short-date,v__short-date-format,v__short-date-year,v__sort,v__start-time,v__tableau-version,v__time-format,v__windir,v__windows_tracing_flags,v__windows_tracing_logfile
open-log,10028,-,-,info,-,17a8,2015-04-01T14:42:44.916,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\Miles\Documents\My Tableau Repository\Logs\log_1.txt,,,,,,,,,,,,,,,,,,,,,,,
startup-info,10028,-,-,info,-,17a8,2015-04-01T14:42:44.916,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Program Files\Tableau\Tableau 8.3,,,,,,Miles-PC,,,,,,,,,Microsoft Windows 7 Professional Service Pack 1 (build 7601),,10028 (0x272c),,,,,,,,,,,,,,,,,2015-04-01T12:42:44.916,"8300.15.0308.1149,x64",,,,
memory-usage,10028,-,-,info,-,17a8,2015-04-01T14:42:44.922,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276750336,,,,,,,,8795765297152,,,,,,87,,,,,,,,,,,,,,,,,50909184,,,,,,,,,,,
environment,10028,-,-,info,-,17a8,2015-04-01T14:42:44.922,-,,C:\ProgramData,C:\Users\Miles\AppData\Roaming,C:\Program Files\Tableau\Tableau 8.3\,MILES-PC,C:\Windows\system32\cmd.exe,C:\Program Files\Common Files,C:\Program Files (x86)\Common Files,C:\Program Files\Common Files,C:\Program Files\Tableau\Tableau 8.3\,C:\Users\Miles\AppData\Local\Temp\TableauTemp\firebird\F22359ED940C4B63B49E4E118BDBCBD5,C:\Users\Miles\AppData\Local\Temp\TableauTemp\firebird\F22359ED940C4B63B49E4E118BDBCBD5,NO,C:,\Users\Miles,C:\Users\Miles\AppData\Local,\\MILES-PC,4,Windows_NT,.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC,AMD64,"Intel64 Family 6 Model 69 Stepping 1, GenuineIntel",6,4501,C:\Windows\system32\WindowsPowerShell\v1.0\Modules\,C:\Users\Public,C:\Python27\;C:\Python27\Scripts;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Intel\WiFi\bin\;C:\Program Files\Common Files\Intel\WirelessCommon\;C:\HashiCorp\Vagrant\bin;C:\Program Files (x86)\scala\bin;C:\Program Files (x86)\sbt\\bin;C:\Program Files\TortoiseSVN\bin;C:\Python27\;C:\Python27\Scripts;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Intel\WiFi\bin\;C:\Program Files\Common Files\Intel\WirelessCommon\;C:\HashiCorp\Vagrant\bin;C:\Program Files (x86)\scala\bin;C:\Program Files (x86)\sbt\\bin;C:\Ruby22-x64\bin;c:\dev\bin;C:\Program Files\Java\jdk1.7.0\bin,C:\ProgramData,C:\Program Files,C:\Program Files (x86),C:\Program Files,C:\Program Files (x86)\sbt\,Console,C:,C:\Windows,C:\Users\Miles\AppData\Local\Temp,C:\Users\Miles\AppData\Local\Temp,C:\Program Files\Intel Corporation\USB over IP,Miles-PC,Miles,C:\Users\Miles,C:\Program Files\Oracle\VirtualBox\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows,3,C:\BVTBin\Tests\installpackage\csilogfile.log
display-device,10028,-,-,info,-,17a8,2015-04-01T14:42:44.923,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Intel(R) HD Graphics Family,,,,,,,Intel(R) HD Graphics 4400,,Intel(R) HD Graphics Family,1-29-2014,Intel(R) HD Graphics Family,10.18.10.3412,0x0 (0),,,,,,,,,,,,
dll-version-info,10028,-,-,info,-,17a8,2015-04-01T14:42:44.923,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8300.15.0308.1149,C:\Program Files\Tableau\Tableau 8.3\bin\tableau.exe,,,,,,,,,,,,,,Tableau 8.3,8300.15.0308.1149,,,,,,,,,,,,,,,,,,,,
dll-version-info,10028,-,-,info,-,17a8,2015-04-01T14:42:44.923,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1.7600.16385 (win7_rtm.090713-1255),C:\Windows\SYSTEM32\ntdll.dll,,,,,,,,,,,,,,Microsoft® Windows® operációs rendszer,6.1.7600.16385,,,,,,,,,,,,,,,,,,,,
dll-version-info,10028,-,-,info,-,17a8,2015-04-01T14:42:44.924,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1.7601.18015 (win7sp1_gdr.121129-1432),C:\Windows\system32\kernel32.dll,,,,,,,,,,,,,,Microsoft® Windows® operációs rendszer,6.1.7601.18015,,,,,,,,,,,,,,,,,,,,
dll-version-info,10028,-,-,info,-,17a8,2015-04-01T14:42:44.924,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1.7601.18015 (win7sp1_gdr.121129-1432),C:\Windows\system32\KERNELBASE.dll,,,,,,,,,,,,,,Microsoft® Windows® operációs rendszer,6.1.7601.18015,,,,,,,,,,,,,,,,,,,,
dll-version-info,10028,-,-,info,-,17a8,2015-04-01T14:42:44.924,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8300.15.0308.1149,C:\Program Files\Tableau\Tableau 8.3\bin\tabcore.dll,,,,,,,,,,,,,,Tableau 8.3,8300.15.0308.1149,,,,,,,,,,,,,,,,,,,,
dll-version-info,10028,-,-,info,-,17a8,2015-04-01T14:42:44.924,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Program Files\Tableau\Tableau 8.3\bin\metrics2.dll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dll-version-info,10028,-,-,info,-,17a8,2015-04-01T14:42:44.924,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4, 2, 0, 0",C:\Program Files\Tableau\Tableau 8.3\bin\tbb.dll,,,,,,,,,,,,,,Intel(R) Threading Building Blocks for Windows,"4, 2, 0, 0",,,,,,,,,,,,,,,,,,,,
dll-version-info,10028,-,-,info,-,17a8,2015-04-01T14:42:44.924,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00.40219.325,C:\Program Files\Tableau\Tableau 8.3\bin\MSVCP100.dll,,,,,,,,,,,,,,Microsoft® Visual Studio® 2010,10.00.40219.325,,,,,,,,,,,,,,,,,,,,
dll-version-info,10028,-,-,info,-,17a8,2015-04-01T14:42:44.924,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00.40219.325,C:\Program Files\Tableau\Tableau 8.3\bin\MSVCR100.dll,,,,,,,,,,,,,,Microsoft® Visual Studio® 2010,10.00.40219.325,,,,,,,,,,,,,,,,,,,,
dll-version-info,10028,-,-,info,-,17a8,2015-04-01T14:42:44.924,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Program Files\Tableau\Tableau 8.3\bin\boost_system-vc100-mt-1_55.dll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dll-version-info,10028,-,-,info,-,17a8,2015-04-01T14:42:44.924,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Program Files\Tableau\Tableau 8.3\bin\boost_thread-vc100-mt-1_55.dll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dll-version-info,10028,-,-,info,-,17a8,2015-04-01T14:42:44.924,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Program Files\Tableau\Tableau 8.3\bin\boost_chrono-vc100-mt-1_55.dll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dll-version-info,10028,-,-,info,-,17a8,2015-04-01T14:42:44.924,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.39.0,C:\Program Files\Tableau\Tableau 8.3\bin\libcurl.dll,,,,,,,,,,,,,,The cURL library,7.39.0,,,,,,,,,,,,,,,,,,,,
dll-version-info,10028,-,-,info,-,17a8,2015-04-01T14:42:44.924,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1.7600.16385 (win7_rtm.090713-1255),C:\Windows\system32\WS2_32.dll,,,,,,,,,,,,,,Microsoft® Windows® operációs rendszer,6.1.7600.16385,,,,,,,,,,,,,,,,,,,,
dll-version-info,10028,-,-,info,-,17a8,2015-04-01T14:42:44.924,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0.7601.17744 (win7sp1_gdr.111215-1535),C:\Windows\system32\msvcrt.dll,,,,,,,,,,,,,,Microsoft® Windows® Operating System,7.0.7601.17744,,,,,,,,,,,,,,,,,,,,
dll-version-info,10028,-,-,info,-,17a8,2015-04-01T14:42:44.924,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1.7600.16385 (win7_rtm.090713-1255),C:\Windows\system32\RPCRT4.dll,,,,,,,,,,,,,,Microsoft® Windows® operációs rendszer,6.1.7600.16385,,,,,,,,,,,,,,,,,,,,
dll-version-info,10028,-,-,info,-,17a8,2015-04-01T14:42:44.925,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1.7600.16385 (win7_rtm.090713-1255),C:\Windows\system32\NSI.dll,,,,,,,,,,,,,,Microsoft® Windows® Operating System,6.1.7600.16385,,,,,,,,,,,,,,,,,,,,
dll-version-info,10028,-,-,info,-,17a8,2015-04-01T14:42:44.925,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1.7600.16385 (win7_rtm.090713-1255),C:\Windows\system32\WLDAP32.dll,,,,,,,,,,,,,,Microsoft® Windows® operációs rendszer,6.1.7600.16385,,,,,,,,,,,,,,,,,,,,
dll-version-info,10028,-,-,info,-,17a8,2015-04-01T14:42:44.925,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1.7600.16385 (win7_rtm.090713-1255),C:\Windows\system32\Normaliz.dll,,,,,,,,,,,,,,Microsoft® Windows® Operating System,6.1.7600.16385,,,,,,,,,,,,,,,,,,,,
